time,open,high,low,close
1732478400,96900,97050,96900,97050
1732482000,97050,97200,97050,97200
1732482000.001,97200,97350,97200,97350
1732482000.002,97350,97500,97350,97500
1732482000.003,97500,97650,97500,97650
1732482000.004,97650,97800,97650,97800
1732482000.005,97800,97950,97800,97950
1732482000.006,97950,98100,97950,98100
1732492800,97950,97950,97800,97800
1732492800.001,97800,97800,97650,97650
1732492800.002,97650,97650,97500,97500
1732500000,97650,97800,97650,97800
1732500000.001,97800,97950,97800,97950
1732507200,97950,98100,97950,98100
1732518000,98100,98250,98100,98250
1732521600,98250,98400,98250,98400
1732521600.001,98400,98550,98400,98550
1732532400,98400,98400,98250,98250
1732532400.001,98250,98250,98100,98100
1732536000,98100,98100,97950,97950
1732536000.001,97950,97950,97800,97800
1732536000.002,97800,97800,97650,97650
1732539600,97650,97650,97500,97500
1732539600.001,97500,97500,97350,97350
1732539600.002,97350,97350,97200,97200
1732539600.003,97200,97200,97050,97050
1732539600.004,97050,97050,96900,96900
1732539600.005,96900,96900,96750,96750
1732539600.006,96750,96750,96600,96600
1732539600.007,96600,96600,96450,96450
1732539600.008,96450,96450,96300,96300
1732539600.009,96300,96300,96150,96150
1732539600.01,96150,96150,96000,96000
1732539600.011,96000,96000,95850,95850
1732539600.012,95850,95850,95700,95700
1732539600.013,95700,95700,95550,95550
1732543200,95700,95850,95700,95850
1732543200.001,95850,96000,95850,96000
1732550400,95850,95850,95700,95700
1732550400.001,95700,95700,95550,95550
1732550400.002,95550,95550,95400,95400
1732550400.003,95400,95400,95250,95250
1732557600,95250,95250,95100,95100
1732557600.001,95100,95100,94950,94950
1732557600.002,94950,94950,94800,94800
1732564800,94800,94800,94650,94650
1732564800.001,94650,94650,94500,94500
1732564800.002,94500,94500,94350,94350
1732564800.003,94350,94350,94200,94200
1732564800.004,94200,94200,94050,94050
1732564800.005,94050,94050,93900,93900
1732564800.006,93900,93900,93750,93750
1732568400,93900,94050,93900,94050
1732568400.001,94050,94200,94050,94200
1732568400.002,94200,94350,94200,94350
1732572000,94200,94200,94050,94050
1732572000.001,94050,94050,93900,93900
1732572000.002,93900,93900,93750,93750
1732572000.003,93750,93750,93600,93600
1732572000.004,93600,93600,93450,93450
1732572000.005,93450,93450,93300,93300
1732572000.006,93300,93300,93150,93150
1732575600,93300,93450,93300,93450
1732575600.001,93450,93600,93450,93600
1732575600.002,93600,93750,93600,93750
1732579200,93750,93900,93750,93900
1732579200.001,93900,94050,93900,94050
1732579200.002,94050,94200,94050,94200
1732579200.003,94200,94350,94200,94350
1732579200.004,94350,94500,94350,94500
1732579200.005,94500,94650,94500,94650
1732579200.006,94650,94800,94650,94800
1732586400,94650,94650,94500,94500
1732590000,94500,94500,94350,94350
1732593600,94500,94650,94500,94650
1732600800,94500,94500,94350,94350
1732600800.001,94350,94350,94200,94200
1732600800.002,94200,94200,94050,94050
1732600800.003,94050,94050,93900,93900
1732604400,93900,93900,93750,93750
1732604400.001,93750,93750,93600,93600
1732604400.002,93600,93600,93450,93450
1732604400.003,93450,93450,93300,93300
1732604400.004,93300,93300,93150,93150
1732608000,93300,93450,93300,93450
1732611600,93300,93300,93150,93150
1732611600.001,93150,93150,93000,93000
1732611600.002,93000,93000,92850,92850
1732611600.003,92850,92850,92700,92700
1732611600.004,92700,92700,92550,92550
1732611600.005,92550,92550,92400,92400
1732618800,92400,92400,92250,92250
1732626000,92400,92550,92148.25,92550
1732626000.001,92550,92700,92550,92700
1732626000.002,92700,92850,92700,92850
1732626000.003,92850,93000,92850,93000
1732626000.004,93000,93150,93000,93150
1732629600,93000,93000,92850,92850
1732633200,93000,93150,93000,93150
1732633200.001,93150,93300,93150,93300
1732633200.002,93300,93450,93300,93450
1732633200.003,93450,93600,93450,93600
1732633200.004,93600,93750,93600,93750
1732633200.005,93750,93900,93750,93900
1732633200.006,93900,94050,93900,94050
1732636800,93900,93900,93750,93750
1732636800.001,93750,93750,93600,93600
1732640400,93600,93600,93450,93450
1732640400.001,93450,93450,93300,93300
1732640400.002,93300,93300,93150,93150
1732640400.003,93150,93150,93000,93000
1732640400.004,93000,93000,92850,92850
1732640400.005,92850,92850,92700,92700
1732640400.006,92700,92700,92550,92550
1732640400.007,92550,92550,92400,92400
1732640400.008,92400,92400,92250,92250
1732644000,92250,92250,92100,92100
1732644000.001,92100,92100,91950,91950
1732644000.002,91950,91950,91800,91800
1732647600,91800,91800,91650,91650
1732647600.001,91650,91650,91500,91500
1732647600.002,91500,91500,91350,91350
1732647600.003,91350,91350,91200,91200
1732647600.004,91200,91200,91050,91050
1732651200,91200,91350,91200,91350
1732651200.001,91350,91500,91350,91500
1732651200.002,91500,91650,91500,91650
1732658400,91650,91800,91650,91800
1732665600,91800,91950,91800,91950
1732665600.001,91950,92100,91950,92100
1732665600.002,92100,92250,92100,92250
1732665600.003,92250,92400,92250,92400
1732665600.004,92400,92550,92400,92550
1732665600.005,92550,92700,92550,92700
1732669200,92700,92850,92700,92850
1732676400,92700,92700,92550,92550
1732683600,92700,92850,92700,92850
1732683600.001,92850,93000,92850,93000
1732687200,93000,93150,93000,93150
1732687200.001,93150,93300,93150,93300
1732687200.002,93300,93450,93300,93450
1732698000,93450,93600,93450,93600
1732698000.001,93600,93750,93600,93750
1732701600,93600,93600,93450,93450
1732708800,93600,93750,93600,93750
1732708800.001,93750,93900,93750,93900
1732708800.002,93900,94050,93900,94050
1732708800.003,94050,94200,94050,94200
1732712400,94200,94350,94200,94350
1732712400.001,94350,94500,94350,94500
1732712400.002,94500,94650,94500,94650
1732712400.003,94650,94800,94650,94800
1732716000,94800,94950,94800,94950
1732716000.001,94950,95100,94950,95100
1732716000.002,95100,95250,95100,95250
1732716000.003,95250,95400,95250,95400
1732716000.004,95400,95550,95400,95550
1732719600,95550,95700,95550,95700
1732723200,95700,95850,95700,95850
1732723200.001,95850,96000,95850,96000
1732723200.002,96000,96150,96000,96150
1732723200.003,96150,96300,96150,96300
1732730400,96300,96450,96300,96450
1732730400.001,96450,96600,96450,96600
1732730400.002,96600,96750,96600,96750
1732737600,96600,96600,96450,96450
1732741200,96450,96450,96300,96300
1732744800,96300,96300,96150,96150
1732744800.001,96150,96150,96000,96000
1732748400,96150,96300,96150,96300
1732748400.001,96300,96450,96300,96450
1732748400.002,96450,96600,96450,96600
1732755600,96450,96450,96300,96300
1732755600.001,96300,96300,96150,96150
1732755600.002,96150,96150,96000,96000
1732755600.003,96000,96000,95850,95850
1732759200,95850,95850,95700,95700
1732766400,95700,95700,95550,95550
1732773600,95550,95550,95400,95400
1732780800,95400,95400,95250,95250
1732780800.001,95250,95250,95100,95100
1732788000,95250,95400,95000.25,95400
1732795200,95400,95550,95400,95550
1732795200.001,95550,95700,95550,95700
1732802400,95550,95550,95400,95400
1732802400.001,95400,95400,95250,95250
1732802400.002,95250,95250,95100,95100
1732809600,95100,95100,94950,94950
1732813200,95100,95250,95100,95250
1732820400,95100,95100,94950,94950
1732827600,95100,95250,95100,95250
1732827600.001,95250,95400,95250,95400
1732827600.002,95400,95550,95400,95550
1732838400,95550,95700,95550,95700
1732838400.001,95700,95850,95700,95850
1732842000,95850,96000,95850,96000
1732842000.001,96000,96150,96000,96150
1732842000.002,96150,96300,96150,96300
1732842000.003,96300,96450,96300,96450
1732842000.004,96450,96600,96450,96600
1732842000.005,96600,96750,96600,96750
1732849200,96600,96600,96450,96450
1732849200.001,96450,96450,96300,96300
1732860000,96300,96300,96150,96150
1732860000.001,96150,96150,96000,96000
1732860000.002,96000,96000,95850,95850
1732860000.003,95850,95850,95700,95700
1732867200,95850,96000,95850,96000
1732867200.001,96000,96150,96000,96150
1732867200.002,96150,96300,96150,96300
1732870800,96300,96450,96300,96450
1732870800.001,96450,96600,96450,96600
1732870800.002,96600,96750,96600,96750
1732874400,96750,96900,96750,96900
1732874400.001,96900,97050,96900,97050
1732874400.002,97050,97200,97050,97200
1732885200,97200,97350,97004.25,97350
1732885200.001,97350,97500,97350,97500
1732885200.002,97500,97650,97500,97650
1732885200.003,97650,97800,97650,97800
1732885200.004,97800,97950,97800,97950
1732885200.005,97950,98100,97950,98100
1732896000,97950,98159.25,97800,97800
1732896000.001,97800,97800,97650,97650
1732896000.002,97650,97650,97500,97500
1732896000.003,97500,97500,97350,97350
1732896000.004,97350,97350,97200,97200
1732917600,97350,97500,97350,97500
1732921200,97350,97350,97200,97200
1732921200.001,97200,97200,97050,97050
1732924800,97050,97050,96900,96900
1732924800.001,96900,96900,96750,96750
1732924800.002,96750,96750,96600,96600
1732939200,96750,96900,96750,96900
1732939200.001,96900,97050,96900,97050
1732942800,96900,96900,96750,96750
1732957200,96750,96979.75,96600,96600
1732957200.001,96600,96600,96450,96450
1732957200.002,96450,96450,96300,96300
1732975200,96450,96600,96450,96600
1732978800,96600,96750,96600,96750
1732978800.001,96750,96900,96750,96900
1732989600,96900,97050,96900,97050
1733000400,96900,96900,96750,96750
1733000400.001,96750,96750,96600,96600
1733007600,96600,96600,96450,96450
1733011200,96450,96450,96300,96300
1733011200.001,96300,96300,96150,96150
1733014800,96150,96150,96000,96000
1733014800.001,96000,96000,95850,95850
1733018400,96000,96150,96000,96150
1733018400.001,96150,96300,96150,96300
1733022000,96300,96450,96300,96450
1733036400,96450,96600,96450,96600
1733036400.001,96600,96750,96600,96750
1733036400.002,96750,96900,96750,96900
1733036400.003,96900,97050,96900,97050
1733047200,97050,97200,96850.25,97200
1733050800,97050,97050,96900,96900
1733058000,97050,97200,97050,97200
1733058000.001,97200,97350,97200,97350
1733083200,97350,97500,97081.75,97500
1733083200.001,97500,97650,97500,97650
1733090400,97500,97500,97350,97350
1733097600,97500,97650,97500,97650
1733097600.001,97650,97800,97650,97800
1733097600.002,97800,97950,97800,97950
1733104800,97800,97800,97650,97650
1733104800.001,97650,97650,97500,97500
1733104800.002,97500,97500,97350,97350
1733104800.003,97350,97350,97200,97200
1733104800.004,97200,97200,97050,97050
1733104800.005,97050,97050,96900,96900
1733104800.006,96900,96900,96750,96750
1733104800.007,96750,96750,96600,96600
