time,open,high,low,close,Long Entry,Short Entry,5m ADX(14),Volume
1724076000.004,1.106,1.1065,1.106,1.1065,0,0,42.64256145260436,4829.4
1724083200,1.1065,1.107,1.1065,1.107,0,0,44.33993583884921,8657
1724086800,1.107,1.1075,1.107,1.1075,0,0,46.08747393722484,2083
1724090400,1.1075,1.1079999999999999,1.1075,1.1079999999999999,0,0,47.86934863421993,3643
1724097600,1.108,1.1085,1.108,1.1085,0,0,49.6717380048245,4569
1724155200,1.1085,1.109,1.10756,1.109,0,0,51.4826195925108,26457
1724155200.001,1.109,1.1095,1.109,1.1095,0,0,53.291583849315195,26457
1724158800,1.1095,1.1099999999999999,1.1095,1.1099999999999999,0,0,55.0896650481684,6939
1724162400,1.11,1.1105,1.11,1.1105,0,0,56.86918812302828,4048.5
1724162400.001,1.1105,1.111,1.1105,1.111,0,0,58.62363002389366,4048.5
1724173200,1.111,1.1115,1.111,1.1115,0,0,60.34749429438938,15363
1724176800,1.1115,1.1119999999999999,1.1115,1.1119999999999999,0,0,62.036197690197405,4402
1724184000,1.112,1.1125,1.112,1.1125,0,0,63.68596775798704,5311
1724223600,1.112,1.11294,1.1115000000000002,1.1115000000000002,0,0,64.27332700967776,26274
1724252400,1.112,1.1125,1.11144,1.1125,0,1,64.70642048487596,12095.75
1724252400.001,1.1125,1.113,1.1125,1.113,0,0,65.26930568049958,12095.75
1724252400.002,1.113,1.1135,1.113,1.1135,0,0,65.93986457979852,12095.75
1724252400.003,1.1135,1.1139999999999999,1.1135,1.1139999999999999,0,0,66.69868049930507,12095.75
1724256000,1.114,1.1145,1.114,1.1145,0,0,67.52873364311422,5276
1724259600,1.1145,1.115,1.1145,1.115,0,0,68.41513140818265,2034
1724259600.001,1.115,1.1155,1.115,1.1155,1,0,69.34486917637842,2034
1724263200,1.1155,1.1159999999999999,1.1155,1.1159999999999999,0,0,70.30661791442506,5798
1724270400,1.1155,1.1155,1.115,1.115,0,0,70.23338990444417,5467
1724288400,1.115,1.11562,1.1145,1.1145,0,0,69.27291209971791,9850
1724310000,1.1145,1.1145,1.114,1.114,0,0,67.55639792736757,17737
1724331600,1.114,1.11453,1.1135000000000002,1.1135000000000002,0,0,65.20025429836798,8141
1724331600.001,1.1135,1.1135,1.113,1.113,0,0,62.30761363362889,8141
1724331600.002,1.113,1.113,1.1125,1.1125,0,0,58.969709605104136,8141
1724331600.003,1.1125,1.1125,1.112,1.112,0,0,55.26711311731255,8141
1724335200,1.112,1.112,1.1115000000000002,1.1115000000000002,0,0,51.36808119624416,7463
1724346000,1.1115,1.1115,1.111,1.111,0,0,48.26420707088252,7558.5
1724346000.001,1.111,1.111,1.1105,1.1105,0,0,45.86039785097559,7558.5
1724367600,1.111,1.1115,1.111,1.1115,0,0,43.03369189061415,11111
1724374800,1.1115,1.1119999999999999,1.1115,1.1119999999999999,0,0,40.06156836340596,3498.5
1724374800.001,1.112,1.1125,1.112,1.1125,0,0,37.811964836881415,3498.5
1724414400,1.112,1.11284,1.1115000000000002,1.1115000000000002,0,0,35.161689310564675,39890
1724421600,1.112,1.1125,1.11148,1.1125,0,0,32.67835780197262,2299.9
1724421600.001,1.1125,1.113,1.1125,1.113,0,0,30.921864026536294,2299.9
1724421600.002,1.113,1.1135,1.113,1.1135,0,0,29.79493294340059,2299.9
1724421600.003,1.1135,1.1139999999999999,1.1135,1.1139999999999999,0,0,29.211410275905752,2299.9
1724421600.004,1.114,1.1145,1.114,1.1145,0,0,29.09502193476442,2299.9
1724421600.005,1.1145,1.115,1.1145,1.115,0,0,29.378278716594057,2299.9
1724421600.006,1.115,1.1155,1.115,1.1155,0,0,30.00150744273454,2299.9
1724421600.007,1.1155,1.1159999999999999,1.1155,1.1159999999999999,0,0,30.91199249438529,2299.9
1724421600.008,1.116,1.1165,1.116,1.1165,0,0,32.06321401574777,2299.9
1724421600.009,1.1165,1.117,1.1165,1.117,0,0,33.41417098891176,2299.9
1724425200,1.117,1.1175,1.117,1.1175,0,0,34.9287790048127,8655
1724432400,1.1175,1.1179999999999999,1.1175,1.1179999999999999,0,0,36.57533392072104,3960.3333333333335
1724432400.001,1.118,1.1185,1.118,1.1185,0,0,38.32603375179032,3960.3333333333335
1724432400.002,1.1185,1.119,1.1185,1.119,0,0,40.156552128515685,3960.3333333333335
1724648400,1.1185,1.11939,1.118,1.118,1,0,40.995141062363786,32035
1724662800,1.118,1.118,1.1175000000000002,1.1175000000000002,0,0,40.97765837668991,18887
1724670000,1.1175,1.1175,1.117,1.117,0,0,40.225114320175685,7930
1724673600,1.117,1.117,1.1165,1.1165,0,0,38.84517230987031,7313
1724677200,1.1165,1.1165,1.116,1.116,0,0,36.933500192778865,7898
1724680800,1.1165,1.117,1.1165,1.117,0,0,35.615992957949,4047.5
1724680800.001,1.117,1.1175,1.117,1.1175,0,0,34.81625269678682,4047.5
1724684400,1.117,1.117,1.1165,1.1165,0,0,33.4278248809868,5114
1724698800,1.1165,1.11712,1.116,1.116,0,0,31.540430233837007,16009
1724778000,1.1165,1.117,1.11586,1.117,0,0,29.624159968643397,26094
1724778000.001,1.117,1.1175,1.117,1.1175,0,0,28.36273711937397,26094
1724778000.002,1.1175,1.1179999999999999,1.1175,1.1179999999999999,0,0,27.667741799694127,26094
1724781600,1.118,1.1185,1.118,1.1185,0,0,27.46074042873985,3409
1724806800,1.118,1.118,1.1175000000000002,1.1175000000000002,0,0,26.59902395333436,11932
1724810400,1.1175,1.1175,1.117,1.117,0,0,25.18193119990992,2625
1724817600,1.117,1.117,1.1165,1.1165,0,0,23.4691933150056,1801.5
1724817600.001,1.1165,1.1165,1.116,1.116,0,0,22.403515320292257,1801.5
1724821200,1.116,1.116,1.1155000000000002,1.1155000000000002,0,0,21.89824479094859,1233
1724821200.001,1.1155,1.1155,1.115,1.115,0,0,21.876236071092553,1233
1724821200.002,1.115,1.115,1.1145,1.1145,0,0,22.26887050465092,1233
1724828400,1.115,1.1155,1.115,1.1155,0,0,21.964001631585244,10838
1724832000,1.115,1.115,1.1145,1.1145,0,0,22.110961428769716,4916
1724835600,1.1145,1.1145,1.114,1.114,0,0,22.645106545904788,5372
1724839200,1.114,1.114,1.1135000000000002,1.1135000000000002,0,0,23.50895920956734,2489
1724839200.001,1.1135,1.1135,1.113,1.113,0,0,24.651479115080168,2489
1724842800,1.113,1.113,1.1125,1.1125,0,0,26.027407857630315,4569
1724846400,1.1125,1.1125,1.112,1.112,0,0,27.596678478649366,3058
1724846400.001,1.112,1.112,1.1115000000000002,1.1115000000000002,0,0,29.32388351694522,3058
1724853600,1.112,1.1125,1.11112,1.1125,0,0,30.140606986330194,7454.5
1724853600.001,1.1125,1.113,1.1125,1.113,1,0,30.16988641468569,7454.5
1724860800,1.1125,1.1125,1.112,1.112,0,0,30.55642147987089,5348.5
1724860800.001,1.112,1.112,1.1115000000000002,1.1115000000000002,0,0,31.248326657081353,5348.5
1724864400,1.1115,1.1115,1.111,1.111,0,0,32.19940411136677,3850
1724875200,1.1115,1.1119999999999999,1.1115,1.1119999999999999,0,0,32.33664789572116,9055
1724889600,1.112,1.1125,1.112,1.1125,0,0,31.772627212001375,2997
1724889600.001,1.1125,1.113,1.1125,1.113,0,0,30.60781998664121,2997
1724900400,1.113,1.1135,1.113,1.1135,0,0,28.93178869190868,6053
1724918400,1.113,1.11356,1.1125,1.1125,0,0,27.853199187637784,2674.6666666666665
1724918400.001,1.1125,1.1125,1.112,1.112,0,0,27.294703103805034,2674.6666666666665
1724918400.002,1.112,1.112,1.1115000000000002,1.1115000000000002,0,0,27.187030382645393,2674.6666666666665
1724918400.003,1.1115,1.1115,1.111,1.111,0,0,27.468219128814038,2674.6666666666665
1724918400.004,1.111,1.111,1.1105,1.1105,0,0,28.082915779135952,2674.6666666666665
1724918400.005,1.1105,1.1105,1.11,1.11,0,1,28.981739260052088,2674.6666666666665
1724918400.006,1.11,1.11,1.1095000000000002,1.1095000000000002,0,0,30.120703377769903,2674.6666666666665
1724918400.007,1.1095,1.1095,1.109,1.109,0,0,31.460692208344742,2674.6666666666665
1724918400.008,1.109,1.109,1.1085,1.1085,0,0,32.96698372800479,2674.6666666666665
1724925600,1.109,1.1095,1.109,1.1095,0,0,33.584041495610485,8218
1724932800,1.109,1.10962,1.1085,1.1085,0,0,34.45613712827167,13721
1724940000,1.1085,1.1085,1.108,1.108,0,0,35.54352471678611,6052
1724940000.001,1.108,1.108,1.1075000000000002,1.1075000000000002,0,0,36.810857792705306,6052
1724940000.002,1.1075,1.1075,1.107,1.107,0,0,38.22676047542026,6052
1724943600,1.1075,1.1079999999999999,1.1075,1.1079999999999999,0,0,38.740018415941876,3059.5
1724943600.001,1.108,1.1085,1.108,1.1085,0,0,38.47268263465319,3059.5
1724979600,1.108,1.108,1.1075000000000002,1.1075000000000002,0,0,38.55693215211857,28924
1724997600,1.108,1.1085,1.1072,1.1085,0,0,37.92097021931208,11105
