Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
39,Exit short,2025-04-03 16:00:00,[ExitS rA:38 hA:35 R:24 V:0.37 B:0.19 M:- ST:D CH:5 CF:- MI:4 SK:15 PS:D SQ:0 LC:-0.31],191,1000,191400,2.61,0.20,3.36,0.26,-0.06,0.00,67.77,6.78
39,Entry short,2025-04-03 12:00:00,[R001S rA:32 hA:37 R:25 V:0.49 B:0.12 M:+ ST:D CH:37 CF:- MI:12 SK:0 PS:D SQ:0 LC:-0.2],191.4,1000,191400,2.61,0.20,3.36,0.26,-0.06,0.00,67.77,6.78
40,Exit short,2025-04-04 08:00:00,[ExitS rA:66 hA:55 R:25 V:2.08 B:0.2 M:- ST:D CH:5 CF:- MI:22 SK:15 PS:D SQ:0 LC:-0.41],188.4,1000,189000,3.98,0.31,4.73,0.37,-0.06,0.00,71.75,7.18
40,Entry short,2025-04-04 07:00:00,[R001S rA:62 hA:49 R:38 V:0.31 B:0.49 M:+ ST:D CH:19 CF:- MI:27 SK:33 PS:D SQ:0 LC:-0.44],189,1000,189000,3.98,0.31,4.73,0.37,-0.06,0.00,71.75,7.18
41,Exit short,2025-04-06 16:00:00,[ExitS rA:52 hA:54 R:15 V:0.83 B:0.2 M:+ ST:D CH:5 CF:- MI:7 SK:15 PS:D SQ:0 LC:-0.29],187.1,1000,188750,11.08,0.86,11.83,0.92,-0.06,0.00,82.83,8.28
41,Entry short,2025-04-06 14:00:00,[R001S rA:40 hA:54 R:21 V:0.02 B:0.03 M:- ST:D CH:3 CF:+ MI:0 SK:0 PS:D SQ:0 LC:-0.1],188.75,1000,188750,11.08,0.86,11.83,0.92,-0.06,0.00,82.83,8.28
42,Exit short,2025-04-08 15:00:00,[ExitS rA:87 hA:56 R:26 V:0.06 B:0.18 M:- ST:D CH:8 CF:- MI:0 SK:15 PS:D SQ:0 LC:-0.67],186.8,1000,186850,0.21,0.02,0.61,0.05,-0.06,0.00,83.05,8.30
42,Entry short,2025-04-08 13:00:00,[R001S rA:33 hA:34 R:17 V:0.96 B:-0.01 M:- ST:D CH:8 CF:- MI:27 SK:0 PS:D SQ:0 LC:-0.26],186.85,1000,186850,0.21,0.02,0.61,0.05,-0.06,0.00,83.05,8.30
43,Exit short,2025-04-09 08:00:00,[ExitS rA:55 hA:32 R:31 V:0.47 B:0.21 M:+ ST:D CH:18 CF:+ MI:59 SK:20 PS:D SQ:0 LC:-0.44],184.75,1000,184850,0.56,0.04,1.3,0.10,-0.06,0.00,83.61,8.36
43,Entry short,2025-04-09 07:00:00,[R001S rA:51 hA:31 R:28 V:0.71 B:0.17 M:+ ST:D CH:30 CF:+ MI:76 SK:18 PS:D SQ:0 LC:-0.45],184.85,1000,184850,0.56,0.04,1.3,0.10,-0.06,0.00,83.61,8.36
44,Exit long,2025-04-09 14:00:00,[ExitL rA:71 hA:39 R:87 V:0.05 B:0.8 M:- ST:U CH:5 CF:+ MI:100 SK:85 PS:U SQ:0 LC:0.55],189.4,1000,185700,25.15,1.98,25.9,2.04,-0.06,0.00,108.76,10.88
44,Entry long,2025-04-09 10:00:00,[R001L rA:66 hA:35 R:79 V:0.44 B:0.99 M:+ ST:U CH:5 CF:+ MI:42 SK:100 PS:U SQ:0 LC:0.59],185.7,1000,185700,25.15,1.98,25.9,2.04,-0.06,0.00,108.76,10.88
45,Exit short,2025-04-10 07:00:00,[ExitS rA:54 hA:60 R:20 V:2.32 B:0.2 M:- ST:D CH:5 CF:- MI:25 SK:15 PS:D SQ:0 LC:-0.33],187.3,1000,187850,3.6,0.28,4.35,0.34,-0.06,0.00,112.36,11.24
45,Entry short,2025-04-10 06:00:00,[R001S rA:54 hA:60 R:20 V:0.31 B:0.1 M:- ST:D CH:18 CF:- MI:19 SK:0 PS:D SQ:0 LC:-0.38],187.85,1000,187850,3.6,0.28,4.35,0.34,-0.06,0.00,112.36,11.24
46,Exit long,2025-04-10 12:00:00,[ExitL rA:98 hA:83 R:68 V:5.09 B:0.8 M:+ ST:U CH:5 CF:+ MI:57 SK:85 PS:U SQ:0 LC:0.67],187.7,1000,187600,0.55,0.04,1.29,0.10,-0.06,0.00,112.91,11.29
46,Entry long,2025-04-10 10:00:00,[R001L rA:37 hA:39 R:71 V:0.79 B:0.95 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 LC:0.31],187.6,1000,187600,0.55,0.04,1.29,0.10,-0.06,0.00,112.91,11.29
47,Exit long,2025-04-22 17:00:00,[ExitL rA:43 hA:37 R:81 V:3.77 B:0.8 M:+ ST:U CH:5 CF:+ MI:60 SK:85 PS:U SQ:0 LC:0.26],189.45,1000,189100,2.32,0.18,3.09,0.23,-0.07,0.00,115.23,11.52
47,Entry long,2025-04-22 14:00:00,[R001L rA:39 hA:37 R:86 V:0.15 B:0.96 M:+ ST:U CH:3 CF:+ MI:100 SK:100 PS:U SQ:0 LC:0.05],189.1,1000,189100,2.32,0.18,3.09,0.23,-0.07,0.00,115.23,11.52
48,Exit long,2025-04-25 10:00:00,[ExitL rA:68 hA:36 R:74 V:1.8 B:0.81 M:+ ST:U CH:5 CF:+ MI:85 SK:84 PS:U SQ:0 LC:0.56],191.5,1000,191100,2.67,0.20,3.49,0.26,-0.07,0.00,117.89,11.79
48,Entry long,2025-04-25 06:00:00,[R001L rA:53 hA:34 R:71 V:0.95 B:1.06 M:- ST:U CH:29 CF:- MI:53 SK:100 PS:U SQ:0 LC:0.49],191.1,1000,191100,2.67,0.20,3.49,0.26,-0.07,0.00,117.89,11.79
49,Exit long,2025-05-01 13:00:00,[ExitL rA:58 hA:51 R:76 V:1.7 B:0.76 M:- ST:U CH:25 CF:+ MI:68 SK:78 PS:U SQ:0 LC:0.38],193.3,1000,193350,-0.48,-0.04,0,0.00,-0.42,-0.03,117.41,11.74
49,Entry long,2025-05-01 12:00:00,[R001L rA:47 hA:42 R:87 V:1.36 B:0.9 M:- ST:U CH:19 CF:+ MI:79 SK:100 PS:U SQ:0 LC:0.27],193.35,1000,193350,-0.48,-0.04,0,0.00,-0.42,-0.03,117.41,11.74
50,Exit short,2025-05-05 12:00:00,[ExitS rA:70 hA:44 R:33 V:1.13 B:0.26 M:- ST:D CH:34 CF:- MI:19 SK:29 PS:D SQ:0 LC:-0.57],191.3,1000,191300,-0.13,-0.01,0,0.00,-0.41,-0.03,117.28,11.73
50,Entry short,2025-05-05 09:00:00,[R001S rA:52 hA:36 R:23 V:0.78 B:0.1 M:- ST:D CH:27 CF:- MI:12 SK:0 PS:D SQ:0 LC:-0.49],191.3,1000,191300,-0.13,-0.01,0,0.00,-0.41,-0.03,117.28,11.73
51,Exit long,2025-05-11 15:00:00,[ExitL rA:84 hA:64 R:79 V:0.94 B:0.8 M:+ ST:U CH:5 CF:+ MI:88 SK:85 PS:U SQ:0 LC:0.57],193.9,1000,193300,3.99,0.30,4.73,0.36,-0.07,0.00,121.27,12.13
