Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
38,Exit long,2023-05-24 00:00:00,Trail,172.44,500,86265,-0.38,-0.06,0.3,0.05,-0.35,-0.06,57.98,5.80
38,Entry long,2023-05-23 23:00:00,Long,172.53,500,86265,-0.38,-0.06,0.3,0.05,-0.35,-0.06,57.98,5.80
39,Exit short,2023-05-24 05:00:00,Trail,171.63,500,85725,-0.71,-0.11,0,0.00,-0.68,-0.11,57.27,5.73
39,Entry short,2023-05-24 03:00:00,Short,171.45,500,85725,-0.71,-0.11,0,0.00,-0.68,-0.11,57.27,5.73
40,Exit long,2023-05-28 18:00:00,Trail,173.7,500,86670,1.22,0.20,1.89,0.31,-0.03,0.00,58.49,5.85
40,Entry long,2023-05-26 08:00:00,Long,173.34,500,86670,1.22,0.20,1.89,0.31,-0.03,0.00,58.49,5.85
41,Exit long,2023-06-01 05:00:00,Trail,173.79,500,86940,-0.38,-0.06,0.29,0.05,-0.35,-0.06,58.11,5.81
41,Entry long,2023-06-01 02:00:00,Long,173.88,500,86940,-0.38,-0.06,0.29,0.05,-0.35,-0.06,58.11,5.81
42,Exit short,2023-06-05 08:00:00,Trail,173.52,500,86670,-0.7,-0.11,0,0.00,-0.67,-0.11,57.41,5.74
42,Entry short,2023-06-05 07:00:00,Short,173.34,500,86670,-0.7,-0.11,0,0.00,-0.67,-0.11,57.41,5.74
43,Exit long,2023-06-07 15:00:00,Trail,174.15,500,86985,0.58,0.09,1.26,0.20,-0.03,0.00,58,5.80
43,Entry long,2023-06-07 07:00:00,Long,173.97,500,86985,0.58,0.09,1.26,0.20,-0.03,0.00,58,5.80
44,Exit long,2023-06-09 10:00:00,Trail,175.23,500,87570,0.27,0.04,0.94,0.15,-0.03,0.00,58.26,5.83
44,Entry long,2023-06-09 00:00:00,Long,175.14,500,87570,0.27,0.04,0.94,0.15,-0.03,0.00,58.26,5.83
45,Exit long,2023-06-13 17:00:00,Trail,176.67,500,87840,3.47,0.55,4.16,0.66,-0.03,0.00,61.73,6.17
45,Entry long,2023-06-13 06:00:00,Long,175.68,500,87840,3.47,0.55,4.16,0.66,-0.03,0.00,61.73,6.17
46,Exit long,2023-06-16 03:00:00,Trail,180.27,500,90045,0.58,0.09,1.37,0.21,-0.03,0.00,62.32,6.23
46,Entry long,2023-06-15 23:00:00,Long,180.09,500,90045,0.58,0.09,1.37,0.21,-0.03,0.00,62.32,6.23
47,Exit short,2023-06-20 09:00:00,Trail,180.18,500,90360,1.84,0.29,2.51,0.39,-0.03,0.00,64.16,6.42
47,Entry short,2023-06-20 03:00:00,Short,180.72,500,90360,1.84,0.29,2.51,0.39,-0.03,0.00,64.16,6.42
48,Exit long,2023-06-21 00:00:00,Trail,181.26,500,90585,0.26,0.04,0.92,0.14,-0.03,0.00,64.42,6.44
48,Entry long,2023-06-20 23:00:00,Long,181.17,500,90585,0.26,0.04,0.92,0.14,-0.03,0.00,64.42,6.44
49,Exit short,2023-06-21 04:00:00,Trail,180.36,500,90135,-0.38,-0.06,0.29,0.05,-0.35,-0.05,64.04,6.40
49,Entry short,2023-06-21 02:00:00,Short,180.27,500,90135,-0.38,-0.06,0.29,0.05,-0.35,-0.05,64.04,6.40
50,Exit long,2023-06-22 05:00:00,Trail,181.44,500,90630,0.58,0.09,1.24,0.19,-0.03,0.00,64.62,6.46
50,Entry long,2023-06-22 01:00:00,Long,181.26,500,90630,0.58,0.09,1.24,0.19,-0.03,0.00,64.62,6.46
51,Exit long,2023-06-25 14:00:00,Trail,182.7,500,91395,-0.37,-0.06,0.29,0.04,-0.34,-0.05,64.24,6.42
51,Entry long,2023-06-23 12:00:00,Long,182.79,500,91395,-0.37,-0.06,0.29,0.04,-0.34,-0.05,64.24,6.42
52,Exit long,2023-06-27 04:00:00,Trail,182.79,500,91485,-0.69,-0.11,0.16,0.02,-0.66,-0.10,63.56,6.36
52,Entry long,2023-06-27 01:00:00,Long,182.97,500,91485,-0.69,-0.11,0.16,0.02,-0.66,-0.10,63.56,6.36
53,Exit short,2023-06-28 10:00:00,Trail,182.43,500,91215,-0.06,-0.01,0.6,0.09,-0.03,0.00,63.5,6.35
53,Entry short,2023-06-28 07:00:00,Short,182.43,500,91215,-0.06,-0.01,0.6,0.09,-0.03,0.00,63.5,6.35
54,Exit long,2023-06-30 10:00:00,Trail,183.51,500,91845,-0.68,-0.11,0,0.00,-0.65,-0.10,62.82,6.28
54,Entry long,2023-06-30 07:00:00,Long,183.69,500,91845,-0.68,-0.11,0,0.00,-0.65,-0.10,62.82,6.28
55,Exit short,2023-07-05 23:00:00,Trail,182.88,500,91350,-0.68,-0.11,0,0.00,-0.65,-0.10,62.14,6.21
55,Entry short,2023-07-05 22:00:00,Short,182.7,500,91350,-0.68,-0.11,0,0.00,-0.65,-0.10,62.14,6.21
56,Exit short,2023-07-07 02:00:00,Trail,182.25,500,91215,0.57,0.09,1.22,0.19,-0.03,0.00,62.71,6.27
56,Entry short,2023-07-07 00:00:00,Short,182.43,500,91215,0.57,0.09,1.22,0.19,-0.03,0.00,62.71,6.27
