Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
79,Entry short,2025-09-30 15:00:00,[R001S rA:35 R:15 V:1.2 B:0.1 M:- ST:D CH:11 CF:- MI:15 SK:0/2 PS:D SQ:0 LC:-0.38],147.75,1000,147750,-0.44,-0.04,0,0.00,-0.39,-0.04,173.12,17.31
80,Exit long,2025-10-08 20:00:00,[ExitL rA:40 R:59 V:1.49 B:0.5 M:- ST:U CH:27 CF:+ MI:58 SK:93/98 PS:U SQ:0 LC:0.37],152.75,1000,152800,-0.43,-0.04,0,0.00,-0.38,-0.04,172.69,17.27
80,Entry long,2025-10-08 18:00:00,[R001L rA:34 R:67 V:0.35 B:0.76 M:- ST:U CH:25 CF:+ MI:65 SK:100/95 PS:U SQ:0 LC:0.17],152.8,1000,152800,-0.43,-0.04,0,0.00,-0.38,-0.04,172.69,17.27
81,Exit long,2025-10-27 00:00:00,[ExitL rA:45 R:60 V:0.8 B:0.74 M:- ST:U CH:37 CF:+ MI:58 SK:65/62 PS:U SQ:0 LC:0.17],152.95,1000,153000,-0.43,-0.04,0.43,0.04,-0.38,-0.04,172.27,17.23
81,Entry long,2025-10-26 22:00:00,[R001L rA:46 R:66 V:0.28 B:0.9 M:- ST:U CH:46 CF:+ MI:64 SK:65/54 PS:U SQ:0 LC:0.18],153,1000,153000,-0.43,-0.04,0.43,0.04,-0.38,-0.04,172.27,17.23
82,Exit short,2025-10-29 01:00:00,[ExitS rA:69 R:35 V:0.72 B:0.17 M:- ST:D CH:22 CF:+ MI:41 SK:6/2 PS:D SQ:0 LC:-0.51],151.75,1000,151850,0.56,0.06,1.26,0.13,-0.05,0.00,172.83,17.28
82,Entry short,2025-10-28 23:00:00,[R001S rA:69 R:34 V:0.46 B:0.01 M:+ ST:D CH:40 CF:+ MI:64 SK:0/0 PS:D SQ:0 LC:-0.52],151.85,1000,151850,0.56,0.06,1.26,0.13,-0.05,0.00,172.83,17.28
83,Exit long,2025-11-19 00:00:00,[ExitL rA:36 R:68 V:2.11 B:0.81 M:+ ST:U CH:24 CF:+ MI:69 SK:89/91 PS:U SQ:0 LC:0.19],155.55,1000,155500,0.22,0.02,0.92,0.09,-0.05,0.00,173.05,17.30
83,Entry long,2025-11-18 17:00:00,[R001L rA:35 R:73 V:0.21 B:0.97 M:- ST:U CH:29 CF:+ MI:83 SK:87/74 PS:U SQ:0 LC:0.19],155.5,1000,155500,0.22,0.02,0.92,0.09,-0.05,0.00,173.05,17.30
84,Exit short,2025-11-23 22:00:00,[ExitS rA:37 R:28 V:0.51 B:0.18 M:- ST:D CH:22 CF:- MI:11 SK:6/2 PS:D SQ:0 LC:-0.21],156.45,1000,156600,0.86,0.09,1.54,0.15,-0.05,0.00,173.91,17.39
84,Entry short,2025-11-21 15:00:00,[R001S rA:33 R:25 V:1.38 B:0.1 M:- ST:D CH:23 CF:- MI:12 SK:6/21 PS:D SQ:0 LC:-0.21],156.6,1000,156600,0.86,0.09,1.54,0.15,-0.05,0.00,173.91,17.39
85,Exit short,2025-11-25 20:00:00,[ExitS rA:50 R:32 V:0.32 B:0.19 M:- ST:D CH:24 CF:- MI:37 SK:6/2 PS:D SQ:0 LC:-0.48],155.95,1000,156000,0.22,0.02,0.91,0.09,-0.05,0.00,174.12,17.41
85,Entry short,2025-11-25 17:00:00,[R001S rA:42 R:27 V:0.36 B:0.1 M:- ST:D CH:27 CF:- MI:31 SK:0/1 PS:D SQ:0 LC:-0.38],156,1000,156000,0.22,0.02,0.91,0.09,-0.05,0.00,174.12,17.41
86,Exit long,2025-12-10 00:00:00,[ExitL rA:53 R:76 V:2.27 B:0.81 M:+ ST:U CH:5 CF:+ MI:84 SK:93/98 PS:U SQ:0 LC:0.32],156.8,1000,156450,2.13,0.21,2.84,0.29,-0.05,0.00,176.25,17.63
86,Entry long,2025-12-09 15:00:00,[R001L rA:51 R:75 V:0.28 B:0.93 M:+ ST:U CH:27 CF:+ MI:86 SK:98/90 PS:U SQ:0 LC:0.33],156.45,1000,156450,2.13,0.21,2.84,0.29,-0.05,0.00,176.25,17.63
87,Exit short,2025-12-11 15:00:00,[ExitS rA:43 R:23 V:1.93 B:0.2 M:- ST:D CH:5 CF:- MI:19 SK:7/2 PS:D SQ:0 LC:-0.39],155.1,1000,155550,2.78,0.28,3.47,0.35,-0.05,0.00,179.04,17.90
87,Entry short,2025-12-11 13:00:00,[R001S rA:39 R:24 V:0.48 B:-0.02 M:- ST:D CH:15 CF:- MI:9 SK:0/5 PS:D SQ:0 LC:-0.37],155.55,1000,155550,2.78,0.28,3.47,0.35,-0.05,0.00,179.04,17.90
88,Exit long,2026-01-09 19:00:00,[ExitL rA:60 R:73 V:1.72 B:0.83 M:+ ST:U CH:16 CF:+ MI:55 SK:95/98 PS:U SQ:0 LC:0.42],157.95,1000,157800,0.86,0.09,1.56,0.16,-0.05,0.00,179.89,17.99
88,Entry long,2026-01-09 14:00:00,[R001L rA:50 R:77 V:0.69 B:0.9 M:+ ST:U CH:26 CF:+ MI:52 SK:100/99 PS:U SQ:0 LC:0.35],157.8,1000,157800,0.86,0.09,1.56,0.16,-0.05,0.00,179.89,17.99
89,Exit short,2026-01-19 01:00:00,[ExitS rA:58 R:29 V:0.98 B:0.17 M:- ST:D CH:8 CF:- MI:21 SK:5/2 PS:D SQ:0 LC:-0.44],157.6,1000,157800,1.17,0.12,1.85,0.19,-0.05,0.00,181.06,18.11
89,Entry short,2026-01-18 23:00:00,[R001S rA:40 R:28 V:0.32 B:0.02 M:- ST:D CH:29 CF:- MI:36 SK:0/2 PS:D SQ:0 LC:-0.33],157.8,1000,157800,1.17,0.12,1.85,0.19,-0.05,0.00,181.06,18.11
