Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
47,Entry short,2025-02-21 06:00:00,[R001S 5A:34 bA:34 R:30 V:0.39 B:0.11 M:- ST:D CH:18 CF:- MI:46 SK:0 PS:D SQ:0],189.9,1000,189900,9.56,0.75,10.29,0.81,-0.06,0.00,124.96,12.50
48,Exit long,2025-02-23 16:00:00,[ExitL 5A:47 bA:47 R:51 V:0.98 B:0.81 M:+ ST:U CH:11 CF:- MI:63 SK:83 PS:U SQ:0],188.85,1000,188650,1.21,0.10,1.95,0.15,-0.06,0.00,126.17,12.62
48,Entry long,2025-02-23 15:00:00,[R001L 5A:73 bA:73 R:36 V:0.39 B:0.48 M:+ ST:U CH:19 CF:- MI:34 SK:67 PS:U SQ:0],188.65,1000,188650,1.21,0.10,1.95,0.15,-0.06,0.00,126.17,12.62
49,Exit short,2025-02-24 08:00:00,[ExitS 5A:36 bA:36 R:30 V:1.47 B:0.2 M:- ST:D CH:5 CF:+ MI:22 SK:19 PS:D SQ:0],188.55,1000,188700,0.88,0.07,1.82,0.14,-0.06,0.00,127.05,12.71
49,Entry short,2025-02-24 06:00:00,[R001S 5A:25 bA:25 R:28 V:0.31 B:0.01 M:- ST:D CH:5 CF:+ MI:68 SK:0 PS:D SQ:0],188.7,1000,188700,0.88,0.07,1.82,0.14,-0.06,0.00,127.05,12.71
50,Exit short,2025-02-25 10:00:00,[ExitS 5A:36 bA:36 R:34 V:4.98 B:0.2 M:- ST:D CH:5 CF:- MI:44 SK:20 PS:D SQ:0],188.75,1000,189250,3.21,0.25,4.2,0.33,-0.06,0.00,130.26,13.03
50,Entry short,2025-02-25 06:00:00,[R001S 5A:43 bA:43 R:56 V:0.53 B:0.52 M:- ST:D CH:19 CF:- MI:25 SK:33 PS:D SQ:0],189.25,1000,189250,3.21,0.25,4.2,0.33,-0.06,0.00,130.26,13.03
51,Exit long,2025-02-26 08:00:00,[ExitL 5A:38 bA:38 R:71 V:0.47 B:0.8 M:+ ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],189.65,1000,189550,0.54,0.04,1.28,0.10,-0.06,0.00,130.81,13.08
51,Entry long,2025-02-26 07:00:00,[R001L 5A:27 bA:27 R:75 V:0.44 B:1 M:+ ST:U CH:5 CF:+ MI:84 SK:100 PS:U SQ:0],189.55,1000,189550,0.54,0.04,1.28,0.10,-0.06,0.00,130.81,13.08
52,Exit short,2025-02-27 07:00:00,[ExitS 5A:37 bA:37 R:35 V:1.32 B:0.2 M:- ST:D CH:5 CF:- MI:11 SK:15 PS:D SQ:0],189.2,1000,189550,2.22,0.17,2.95,0.23,-0.06,0.00,133.03,13.30
