Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
30,Entry long,2025-11-25 12:00:00,[R001L 5A:26 bA:26 R:73 V:1.09 B:0.98 M:+ ST:U CH:3 CF:+ MI:86 SK:100 PS:U SQ:0],205.8,1000,205800,-0.45,-0.03,0.55,0.04,-0.38,-0.03,67.08,6.71
31,Exit long,2025-11-26 15:00:00,[ExitL 5A:69 bA:69 R:81 V:0.48 B:0.8 M:+ ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],207.1,1000,206350,4.66,0.35,5.38,0.41,-0.07,0.00,71.74,7.17
31,Entry long,2025-11-26 05:00:00,[R001L 5A:36 bA:36 R:77 V:0.35 B:0.93 M:+ ST:U CH:12 CF:+ MI:82 SK:100 PS:U SQ:0],206.35,1000,206350,4.66,0.35,5.38,0.41,-0.07,0.00,71.74,7.17
32,Exit long,2025-11-27 09:00:00,[ExitL 5A:30 bA:30 R:60 V:0.94 B:0.79 M:+ ST:U CH:24 CF:+ MI:50 SK:78 PS:U SQ:0],207,1000,206950,0.19,0.01,0.89,0.07,-0.07,0.00,71.93,7.19
32,Entry long,2025-11-27 07:00:00,[R001L 5A:29 bA:29 R:61 V:0.96 B:0.64 M:- ST:U CH:39 CF:- MI:46 SK:100 PS:U SQ:0],206.95,1000,206950,0.19,0.01,0.89,0.07,-0.07,0.00,71.93,7.19
33,Exit long,2025-11-30 14:00:00,[ExitL 5A:25 bA:25 R:52 V:3.64 B:0.73 M:+ ST:U CH:17 CF:- MI:38 SK:74 PS:U SQ:0],206.65,1000,206650,-0.13,-0.01,0.85,0.06,-0.07,0.00,71.8,7.18
33,Entry long,2025-11-28 06:00:00,[R001L 5A:28 bA:28 R:54 V:0.54 B:0.68 M:+ ST:U CH:24 CF:- MI:33 SK:100 PS:U SQ:0],206.65,1000,206650,-0.13,-0.01,0.85,0.06,-0.07,0.00,71.8,7.18
34,Exit long,2025-12-03 15:00:00,[ExitL 5A:66 bA:66 R:81 V:0.25 B:0.8 M:+ ST:U CH:5 CF:+ MI:99 SK:85 PS:U SQ:0],207.15,1000,206800,2.12,0.16,2.82,0.21,-0.07,0.00,73.92,7.39
34,Entry long,2025-12-03 06:00:00,[R001L 5A:48 bA:48 R:87 V:1.24 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],206.8,1000,206800,2.12,0.16,2.82,0.21,-0.07,0.00,73.92,7.39
35,Exit long,2025-12-04 09:00:00,[ExitL 5A:26 bA:26 R:50 V:2.11 B:0.56 M:+ ST:U CH:25 CF:- MI:52 SK:77 PS:U SQ:0],206.8,1000,206800,-0.13,-0.01,0.58,0.04,-0.07,0.00,73.78,7.38
35,Entry long,2025-12-04 06:00:00,[R001L 5A:31 bA:31 R:51 V:1.07 B:0.48 M:- ST:U CH:18 CF:- MI:41 SK:69 PS:U SQ:0],206.8,1000,206800,-0.13,-0.01,0.58,0.04,-0.07,0.00,73.78,7.38
36,Exit long,2025-12-05 08:00:00,[ExitL 5A:32 bA:32 R:67 V:1.69 B:0.8 M:+ ST:U CH:5 CF:+ MI:84 SK:85 PS:U SQ:0],207.1,1000,207150,-0.46,-0.03,0,0.00,-0.39,-0.03,73.33,7.33
36,Entry long,2025-12-05 08:00:00,[R001L 5A:31 bA:31 R:77 V:0.85 B:0.93 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],207.15,1000,207150,-0.46,-0.03,0,0.00,-0.39,-0.03,73.33,7.33
37,Exit long,2025-12-08 07:00:00,[ExitL 5A:34 bA:41 R:73 V:1.34 B:0.8 M:+ ST:U CH:5 CF:+ MI:90 SK:85 PS:U SQ:0],207.55,1000,207600,-0.46,-0.03,0,0.00,-0.39,-0.03,72.87,7.29
37,Entry long,2025-12-08 07:00:00,[R001L 5A:34 bA:40 R:83 V:0.42 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],207.6,1000,207600,-0.46,-0.03,0,0.00,-0.39,-0.03,72.87,7.29
38,Exit long,2025-12-09 09:00:00,[ExitL 5A:33 bA:53 R:71 V:0.9 B:0.82 M:+ ST:U CH:5 CF:+ MI:95 SK:86 PS:U SQ:0],208.8,1000,208850,-0.45,-0.03,0,0.00,-0.39,-0.03,72.42,7.24
38,Entry long,2025-12-09 09:00:00,[R001L 5A:33 bA:53 R:82 V:0.35 B:0.98 M:+ ST:U CH:2 CF:+ MI:95 SK:100 PS:U SQ:0],208.85,1000,208850,-0.45,-0.03,0,0.00,-0.39,-0.03,72.42,7.24
39,Exit short,2025-12-12 09:00:00,[ExitS 5A:25 bA:23 R:37 V:0.35 B:0.18 M:- ST:D CH:11 CF:- MI:30 SK:15 PS:D SQ:0],208.1,1000,208050,-0.46,-0.03,0,0.00,-0.39,-0.03,71.96,7.20
39,Entry short,2025-12-12 09:00:00,[R001S 5A:25 bA:22 R:28 V:0.82 B:0 M:- ST:D CH:8 CF:- MI:30 SK:0 PS:D SQ:0],208.05,1000,208050,-0.46,-0.03,0,0.00,-0.39,-0.03,71.96,7.20
40,Exit long,2025-12-17 12:00:00,[ExitL 5A:48 bA:41 R:73 V:3.71 B:0.8 M:+ ST:U CH:5 CF:+ MI:67 SK:85 PS:U SQ:0],208.25,1000,208200,0.19,0.01,0.58,0.04,-0.07,0.00,72.15,7.22
