Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
103,Exit long,2024-07-17 07:00:00,Close entry(s) order Long,1.6188,1000,1618.8,-0.2,-0.02,0,0.00,-0.5,-0.05,91.53,9.15
103,Entry long,2024-07-17 01:00:00,Long,1.6188,1000,1618.8,-0.2,-0.02,0,0.00,-0.5,-0.05,91.53,9.15
104,Exit long,2024-07-19 06:00:00,Close entry(s) order Long,1.6248,1000,1625.4,-0.6,-0.05,0.3,0.03,-0.5,-0.05,90.93,9.09
104,Entry long,2024-07-18 23:00:00,Long,1.6254,1000,1625.4,-0.6,-0.05,0.3,0.03,-0.5,-0.05,90.93,9.09
105,Exit long,2024-07-23 02:00:00,Close entry(s) order Long,1.6404,1000,1639.8,0.2,0.02,0.7,0.06,-0.1,-0.01,91.13,9.11
105,Entry long,2024-07-23 00:00:00,Long,1.6398,1000,1639.8,0.2,0.02,0.7,0.06,-0.1,-0.01,91.13,9.11
106,Exit long,2024-07-25 12:00:00,Close entry(s) order Long,1.662,1000,1647,9.68,0.89,10.76,0.99,-0.1,-0.01,100.81,10.08
106,Entry long,2024-07-24 23:00:00,Long,1.647,1000,1647,9.68,0.89,10.76,0.99,-0.1,-0.01,100.81,10.08
107,Exit long,2024-07-29 00:00:00,Close entry(s) order Long,1.6566,1000,1656.6,-0.2,-0.02,0.69,0.06,-0.1,-0.01,100.61,10.06
107,Entry long,2024-07-26 20:00:00,Long,1.6566,1000,1656.6,-0.2,-0.02,0.69,0.06,-0.1,-0.01,100.61,10.06
108,Exit short,2024-07-30 16:00:00,Close entry(s) order Short,1.6536,1000,1653,-0.59,-0.05,0,0.00,-0.49,-0.05,100.03,10.00
108,Entry short,2024-07-30 15:00:00,Short,1.653,1000,1653,-0.59,-0.05,0,0.00,-0.49,-0.05,100.03,10.00
109,Exit short,2024-08-01 14:00:00,Close entry(s) order Short,1.6506,1000,1650,-0.59,-0.05,0,0.00,-0.49,-0.05,99.44,9.94
109,Entry short,2024-08-01 14:00:00,Short,1.65,1000,1650,-0.59,-0.05,0,0.00,-0.49,-0.05,99.44,9.94
110,Exit long,2024-08-02 15:00:00,Close entry(s) order Long,1.674,1000,1668,3.71,0.34,4.58,0.42,-0.1,-0.01,103.14,10.31
110,Entry long,2024-08-02 14:00:00,Long,1.668,1000,1668,3.71,0.34,4.58,0.42,-0.1,-0.01,103.14,10.31
111,Exit short,2024-08-05 14:00:00,Close entry(s) order Short,1.6914,1000,1696.2,2.93,0.26,3.81,0.34,-0.1,-0.01,106.07,10.61
111,Entry short,2024-08-05 13:00:00,Short,1.6962,1000,1696.2,2.93,0.26,3.81,0.34,-0.1,-0.01,106.07,10.61
112,Exit short,2024-08-05 20:00:00,Close entry(s) order Short,1.6878,1000,1687.8,-0.2,-0.02,0,0.00,-0.49,-0.04,105.87,10.59
112,Entry short,2024-08-05 18:00:00,Short,1.6878,1000,1687.8,-0.2,-0.02,0,0.00,-0.49,-0.04,105.87,10.59
113,Exit short,2024-08-06 19:00:00,Close entry(s) order Short,1.6734,1000,1681.2,4.87,0.45,5.8,0.53,-0.1,-0.01,110.74,11.07
113,Entry short,2024-08-06 13:00:00,Short,1.6812,1000,1681.2,4.87,0.45,5.8,0.53,-0.1,-0.01,110.74,11.07
114,Exit long,2024-08-08 01:00:00,Close entry(s) order Long,1.6752,1000,1675.8,-0.59,-0.05,0.47,0.04,-0.49,-0.04,110.16,11.02
