Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
66,Entry long,2023-10-26 01:00:00,Long,1.68,1000,1680,-0.48,-0.04,0,0.00,-0.43,-0.04,14.62,1.46
67,Exit short,2023-10-27 08:00:00,TP,1.6632,1000,1666.8,2.18,0.21,2.23,0.21,-0.05,0.00,16.8,1.68
67,Entry short,2023-10-27 00:00:00,Short,1.6668,1000,1666.8,2.18,0.21,2.23,0.21,-0.05,0.00,16.8,1.68
68,Exit short,2023-10-30 12:00:00,SL,1.6638,1000,1663.2,-0.48,-0.05,1.66,0.16,-0.43,-0.04,16.33,1.63
68,Entry short,2023-10-30 01:00:00,Short,1.6632,1000,1663.2,-0.48,-0.05,1.66,0.16,-0.43,-0.04,16.33,1.63
69,Exit long,2023-10-31 09:00:00,TP,1.6722,1000,1668.6,2.2,0.21,2.25,0.21,-0.05,0.00,18.52,1.85
69,Entry long,2023-10-31 03:00:00,Long,1.6686,1000,1668.6,2.2,0.21,2.25,0.21,-0.05,0.00,18.52,1.85
70,Exit short,2023-11-01 12:00:00,TP,1.6596,1000,1663.2,2.18,0.21,2.23,0.21,-0.05,0.00,20.71,2.07
70,Entry short,2023-11-01 11:00:00,Short,1.6632,1000,1663.2,2.18,0.21,2.23,0.21,-0.05,0.00,20.71,2.07
71,Exit short,2023-11-02 04:00:00,SL,1.6482,1000,1647.6,-0.48,-0.05,0.72,0.07,-0.43,-0.04,20.23,2.02
71,Entry short,2023-11-02 01:00:00,Short,1.6476,1000,1647.6,-0.48,-0.05,0.72,0.07,-0.43,-0.04,20.23,2.02
72,Exit long,2023-11-07 04:00:00,TP,1.6584,1000,1654.8,2.24,0.21,2.29,0.21,-0.05,0.00,22.46,2.25
72,Entry long,2023-11-07 03:00:00,Long,1.6548,1000,1654.8,2.24,0.21,2.29,0.21,-0.05,0.00,22.46,2.25
73,Exit long,2023-11-07 04:00:00,TP,1.6626,1000,1659,2.24,0.21,2.29,0.21,-0.05,0.00,24.7,2.47
73,Entry long,2023-11-07 04:00:00,Long,1.659,1000,1659,2.24,0.21,2.29,0.21,-0.05,0.00,24.7,2.47
74,Exit long,2023-11-08 17:00:00,TP,1.6692,1000,1665.6,2.22,0.21,2.27,0.21,-0.05,0.00,26.92,2.69
74,Entry long,2023-11-08 15:00:00,Long,1.6656,1000,1665.6,2.22,0.21,2.27,0.21,-0.05,0.00,26.92,2.69
75,Exit long,2023-11-09 22:00:00,TP,1.6758,1000,1672.2,2.19,0.21,2.24,0.21,-0.05,0.00,29.11,2.91
75,Entry long,2023-11-09 19:00:00,Long,1.6722,1000,1672.2,2.19,0.21,2.24,0.21,-0.05,0.00,29.11,2.91
76,Exit long,2023-11-13 07:00:00,SL,1.6788,1000,1679.4,-0.48,-0.04,0.99,0.09,-0.43,-0.04,28.63,2.86
76,Entry long,2023-11-10 10:00:00,Long,1.6794,1000,1679.4,-0.48,-0.04,0.99,0.09,-0.43,-0.04,28.63,2.86
77,Exit long,2023-11-14 13:00:00,SL,1.6806,1000,1681.2,-0.48,-0.04,1.1,0.10,-0.5,-0.05,28.15,2.82
77,Entry long,2023-11-14 08:00:00,Long,1.6812,1000,1681.2,-0.48,-0.04,1.1,0.10,-0.5,-0.05,28.15,2.82
78,Exit short,2023-11-15 01:00:00,SL,1.6746,1000,1674,-0.49,-0.04,1.37,0.13,-0.44,-0.04,27.66,2.77
78,Entry short,2023-11-14 14:00:00,Short,1.674,1000,1674,-0.49,-0.04,1.37,0.13,-0.44,-0.04,27.66,2.77
79,Exit short,2023-11-15 13:00:00,SL,1.668,1000,1667.4,-0.49,-0.05,1.9,0.18,-0.44,-0.04,27.17,2.72
79,Entry short,2023-11-15 10:00:00,Short,1.6674,1000,1667.4,-0.49,-0.05,1.9,0.18,-0.44,-0.04,27.17,2.72
80,Exit long,2023-11-16 05:00:00,SL,1.674,1000,1674.6,-0.49,-0.05,0.34,0.03,-0.44,-0.04,26.68,2.67
80,Entry long,2023-11-16 02:00:00,Long,1.6746,1000,1674.6,-0.49,-0.05,0.34,0.03,-0.44,-0.04,26.68,2.67
81,Exit long,2023-11-17 08:00:00,SL,1.6752,1000,1675.8,-0.49,-0.05,2.25,0.21,-0.44,-0.04,26.19,2.62
81,Entry long,2023-11-16 15:00:00,Long,1.6758,1000,1675.8,-0.49,-0.05,2.25,0.21,-0.44,-0.04,26.19,2.62
82,Exit short,2023-11-17 13:00:00,SL,1.6722,1000,1671.6,-0.49,-0.05,0,0.00,-0.44,-0.04,25.71,2.57
82,Entry short,2023-11-17 11:00:00,Short,1.6716,1000,1671.6,-0.49,-0.05,0,0.00,-0.44,-0.04,25.71,2.57
83,Exit short,2023-11-20 07:00:00,TP,1.6662,1000,1669.8,2.25,0.21,2.3,0.21,-0.05,0.00,27.95,2.80
83,Entry short,2023-11-20 02:00:00,Short,1.6698,1000,1669.8,2.25,0.21,2.3,0.21,-0.05,0.00,27.95,2.80
84,Exit short,2023-11-21 05:00:00,SL,1.6668,1000,1666.2,-0.49,-0.05,0.34,0.03,-0.44,-0.04,27.46,2.75
84,Entry short,2023-11-21 02:00:00,Short,1.6662,1000,1666.2,-0.49,-0.05,0.34,0.03,-0.44,-0.04,27.46,2.75
85,Exit short,2023-11-21 09:00:00,SL,1.6668,1000,1665.6,-0.89,-0.08,0,0.00,-0.84,-0.08,26.57,2.66
85,Entry short,2023-11-21 08:00:00,Short,1.6656,1000,1665.6,-0.89,-0.08,0,0.00,-0.84,-0.08,26.57,2.66
86,Exit short,2023-11-22 11:00:00,TP,1.6608,1000,1664.4,2.26,0.21,2.31,0.21,-0.05,0.00,28.83,2.88
86,Entry short,2023-11-22 09:00:00,Short,1.6644,1000,1664.4,2.26,0.21,2.31,0.21,-0.05,0.00,28.83,2.88
87,Exit short,2023-11-23 08:00:00,SL,1.662,1000,1660.8,-0.89,-0.08,0,0.00,-0.84,-0.08,27.94,2.79
87,Entry short,2023-11-23 07:00:00,Short,1.6608,1000,1660.8,-0.89,-0.08,0,0.00,-0.84,-0.08,27.94,2.79
88,Exit short,2023-11-27 15:00:00,TP,1.6572,1000,1660.8,2.27,0.21,2.32,0.21,-0.05,0.00,30.21,3.02
88,Entry short,2023-11-27 08:00:00,Short,1.6608,1000,1660.8,2.27,0.21,2.32,0.21,-0.05,0.00,30.21,3.02
89,Exit short,2023-11-29 04:00:00,SL,1.6542,1000,1653.6,-0.5,-0.05,1.14,0.10,-0.45,-0.04,29.71,2.97
89,Entry short,2023-11-28 15:00:00,Short,1.6536,1000,1653.6,-0.5,-0.05,1.14,0.10,-0.45,-0.04,29.71,2.97
90,Exit short,2023-11-30 10:00:00,SL,1.653,1000,1652.4,-0.5,-0.05,1.54,0.14,-0.45,-0.04,29.22,2.92
90,Entry short,2023-11-30 04:00:00,Short,1.6524,1000,1652.4,-0.5,-0.05,1.54,0.14,-0.45,-0.04,29.22,2.92
91,Exit short,2023-11-30 15:00:00,TP,1.647,1000,1650.6,2.28,0.21,2.33,0.21,-0.05,0.00,31.5,3.15
91,Entry short,2023-11-30 15:00:00,Short,1.6506,1000,1650.6,2.28,0.21,2.33,0.21,-0.05,0.00,31.5,3.15
92,Exit short,2023-12-01 11:00:00,SL,1.6464,1000,1645.8,-0.5,-0.05,1.14,0.10,-0.45,-0.04,31,3.10
92,Entry short,2023-12-01 08:00:00,Short,1.6458,1000,1645.8,-0.5,-0.05,1.14,0.10,-0.45,-0.04,31,3.10
93,Exit short,2023-12-01 15:00:00,TP,1.635,1000,1638.6,2.28,0.21,2.33,0.22,-0.05,0.00,33.28,3.33
93,Entry short,2023-12-01 15:00:00,Short,1.6386,1000,1638.6,2.28,0.21,2.33,0.22,-0.05,0.00,33.28,3.33
94,Exit long,2023-12-05 02:00:00,TP,1.6422,1000,1638.6,2.28,0.21,2.33,0.22,-0.05,0.00,35.56,3.56
94,Entry long,2023-12-05 00:00:00,Long,1.6386,1000,1638.6,2.28,0.21,2.33,0.22,-0.05,0.00,35.56,3.56
95,Exit long,2023-12-05 15:00:00,SL,1.6476,1000,1648.2,-0.5,-0.05,1.54,0.14,-0.45,-0.04,35.07,3.51
95,Entry long,2023-12-05 11:00:00,Long,1.6482,1000,1648.2,-0.5,-0.05,1.54,0.14,-0.45,-0.04,35.07,3.51
96,Exit short,2023-12-06 07:00:00,TP,1.6368,1000,1640.4,2.26,0.21,2.31,0.21,-0.05,0.00,37.33,3.73
