Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
375,Entry short,2025-04-25 03:00:00,Short,1.7682,1000,1768.2,-2.41,-0.21,1.49,0.13,-2.36,-0.21,233.11,23.31
376,Exit long,2025-04-25 09:00:00,TP,1.7784,1000,1774.8,2.2,0.19,2.26,0.20,-0.05,0.00,235.31,23.53
376,Entry long,2025-04-25 07:00:00,Long,1.7748,1000,1774.8,2.2,0.19,2.26,0.20,-0.05,0.00,235.31,23.53
377,Exit long,2025-04-28 09:00:00,SL,1.7766,1000,1780.2,-2.41,-0.21,0.33,0.03,-2.36,-0.21,232.9,23.29
377,Entry long,2025-04-28 07:00:00,Long,1.7802,1000,1780.2,-2.41,-0.21,0.33,0.03,-2.36,-0.21,232.9,23.29
378,Exit short,2025-04-28 16:00:00,SL,1.7766,1000,1773,-2.41,-0.21,0.72,0.06,-2.36,-0.21,230.5,23.05
378,Entry short,2025-04-28 14:00:00,Short,1.773,1000,1773,-2.41,-0.21,0.72,0.06,-2.36,-0.21,230.5,23.05
379,Exit short,2025-04-29 10:00:00,SL,1.776,1000,1772.4,-2.42,-0.21,0,0.00,-2.37,-0.21,228.08,22.81
379,Entry short,2025-04-29 01:00:00,Short,1.7724,1000,1772.4,-2.42,-0.21,0,0.00,-2.37,-0.21,228.08,22.81
380,Exit long,2025-04-29 13:00:00,TP,1.7826,1000,1779,2.21,0.19,2.26,0.20,-0.05,0.00,230.29,23.03
380,Entry long,2025-04-29 12:00:00,Long,1.779,1000,1779,2.21,0.19,2.26,0.20,-0.05,0.00,230.29,23.03
381,Exit short,2025-04-30 12:00:00,SL,1.7796,1000,1776,-2.4,-0.21,1.48,0.13,-2.35,-0.21,227.88,22.79
381,Entry short,2025-04-30 01:00:00,Short,1.776,1000,1776,-2.4,-0.21,1.48,0.13,-2.35,-0.21,227.88,22.79
382,Exit long,2025-04-30 13:00:00,TP,1.7856,1000,1782,2.19,0.19,2.25,0.20,-0.05,0.00,230.08,23.01
382,Entry long,2025-04-30 12:00:00,Long,1.782,1000,1782,2.19,0.19,2.25,0.20,-0.05,0.00,230.08,23.01
383,Exit short,2025-04-30 15:00:00,TP,1.7742,1000,1777.8,2.19,0.19,2.25,0.20,-0.05,0.00,232.27,23.23
383,Entry short,2025-04-30 14:00:00,Short,1.7778,1000,1777.8,2.19,0.19,2.25,0.20,-0.05,0.00,232.27,23.23
384,Exit short,2025-04-30 23:00:00,TP,1.7664,1000,1770,2.2,0.19,2.25,0.20,-0.05,0.00,234.47,23.45
384,Entry short,2025-04-30 19:00:00,Short,1.77,1000,1770,2.2,0.19,2.25,0.20,-0.05,0.00,234.47,23.45
385,Exit long,2025-05-01 14:00:00,SL,1.7682,1000,1771.8,-2.41,-0.21,1.48,0.13,-2.36,-0.21,232.06,23.21
385,Entry long,2025-05-01 08:00:00,Long,1.7718,1000,1771.8,-2.41,-0.21,1.48,0.13,-2.36,-0.21,232.06,23.21
386,Exit short,2025-05-02 00:00:00,TP,1.7622,1000,1765.8,2.19,0.19,2.25,0.20,-0.05,0.00,234.26,23.43
386,Entry short,2025-05-02 00:00:00,Short,1.7658,1000,1765.8,2.19,0.19,2.25,0.20,-0.05,0.00,234.26,23.43
387,Exit short,2025-05-04 22:00:00,TP,1.7526,1000,1756.2,2.22,0.20,2.27,0.20,-0.05,0.00,236.47,23.65
387,Entry short,2025-05-02 16:00:00,Short,1.7562,1000,1756.2,2.22,0.20,2.27,0.20,-0.05,0.00,236.47,23.65
388,Exit short,2025-05-05 09:00:00,TP,1.7484,1000,1752,2.22,0.20,2.27,0.20,-0.05,0.00,238.69,23.87
388,Entry short,2025-05-05 05:00:00,Short,1.752,1000,1752,2.22,0.20,2.27,0.20,-0.05,0.00,238.69,23.87
