Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
14,Exit short,2023-11-03 06:00:00,[ExitS rA:64 hA:32 R:50 V:1.6 B:0.53 M:+ ST:D CH:32 CF:+ MI:56 SK:36 PS:D SQ:0],1.6518,1000,1651.8,-0.19,-0.02,0.63,0.06,-0.48,-0.05,10.97,1.10
14,Entry short,2023-11-02 20:00:00,[R001S rA:60 hA:30 R:46 V:0.25 B:0.49 M:+ ST:D CH:23 CF:+ MI:54 SK:33 PS:D SQ:0],1.6518,1000,1651.8,-0.19,-0.02,0.63,0.06,-0.48,-0.05,10.97,1.10
15,Exit long,2023-11-09 01:00:00,[ExitL rA:71 hA:37 R:75 V:2.5 B:0.8 M:+ ST:U CH:5 CF:+ MI:76 SK:79 PS:U SQ:0],1.671,1000,1666.2,2.88,0.27,4.1,0.38,-0.1,-0.01,13.85,1.39
15,Entry long,2023-11-08 15:00:00,[R001L rA:50 hA:30 R:73 V:0.2 B:1 M:+ ST:U CH:5 CF:+ MI:90 SK:100 PS:U SQ:0],1.6662,1000,1666.2,2.88,0.27,4.1,0.38,-0.1,-0.01,13.85,1.39
16,Exit long,2023-11-10 06:00:00,[ExitL rA:53 hA:35 R:74 V:0.55 B:0.8 M:+ ST:U CH:5 CF:+ MI:95 SK:85 PS:U SQ:0],1.6776,1000,1671.6,3.63,0.34,4.49,0.42,-0.1,-0.01,17.48,1.75
16,Entry long,2023-11-09 19:00:00,[R001L rA:33 hA:31 R:66 V:0.51 B:0.85 M:- ST:U CH:46 CF:- MI:46 SK:100 PS:U SQ:0],1.6716,1000,1671.6,3.63,0.34,4.49,0.42,-0.1,-0.01,17.48,1.75
17,Exit short,2023-11-15 22:00:00,[ExitS rA:28 hA:38 R:40 V:4.78 B:0.41 M:+ ST:D CH:34 CF:+ MI:81 SK:29 PS:D SQ:0],1.6662,1000,1665.6,-0.59,-0.05,0.29,0.03,-0.49,-0.05,16.89,1.69
17,Entry short,2023-11-15 15:00:00,[R001S rA:31 hA:38 R:34 V:0.65 B:0.24 M:+ ST:D CH:26 CF:+ MI:69 SK:25 PS:D SQ:0],1.6656,1000,1665.6,-0.59,-0.05,0.29,0.03,-0.49,-0.05,16.89,1.69
18,Exit short,2023-12-03 23:00:00,[ExitS rA:36 hA:31 R:19 V:1.9 B:0.2 M:- ST:D CH:13 CF:- MI:15 SK:15 PS:D SQ:0],1.6308,1000,1641.6,7.01,0.64,7.43,0.69,-0.1,-0.01,23.91,2.39
18,Entry short,2023-12-01 14:00:00,[R001S rA:37 hA:31 R:26 V:0.41 B:0.04 M:- ST:D CH:26 CF:- MI:27 SK:0 PS:D SQ:0],1.6416,1000,1641.6,7.01,0.64,7.43,0.69,-0.1,-0.01,23.91,2.39
19,Exit long,2024-02-29 01:00:00,[ExitL rA:55 hA:45 R:75 V:1.22 B:0.8 M:+ ST:U CH:5 CF:+ MI:91 SK:85 PS:U SQ:0],1.668,1000,1667.4,0.19,0.02,1.08,0.10,-0.1,-0.01,24.1,2.41
19,Entry long,2024-02-28 14:00:00,[R001L rA:38 hA:38 R:83 V:0.8 B:0.92 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.6674,1000,1667.4,0.19,0.02,1.08,0.10,-0.1,-0.01,24.1,2.41
20,Exit long,2024-04-17 23:00:00,[ExitL rA:54 hA:36 R:58 V:0.99 B:0.54 M:- ST:U CH:41 CF:- MI:52 SK:71 PS:U SQ:0],1.6578,1000,1658.4,-0.58,-0.05,0,0.00,-0.48,-0.05,23.52,2.35
20,Entry long,2024-04-17 17:00:00,[R001L rA:47 hA:31 R:65 V:1.03 B:0.71 M:- ST:U CH:39 CF:- MI:45 SK:100 PS:U SQ:0],1.6584,1000,1658.4,-0.58,-0.05,0,0.00,-0.48,-0.05,23.52,2.35
21,Exit long,2024-07-18 01:00:00,[ExitL rA:33 hA:32 R:77 V:0.24 B:0.81 M:+ ST:U CH:8 CF:+ MI:98 SK:86 PS:U SQ:0],1.6254,1000,1625.4,-0.2,-0.02,0.71,0.06,-0.1,-0.01,23.33,2.33
21,Entry long,2024-07-17 17:00:00,[R001L rA:34 hA:32 R:86 V:0.57 B:0.95 M:+ ST:U CH:13 CF:+ MI:95 SK:100 PS:U SQ:0],1.6254,1000,1625.4,-0.2,-0.02,0.71,0.06,-0.1,-0.01,23.33,2.33
22,Exit long,2024-07-25 12:00:00,[ExitL rA:68 hA:34 R:82 V:1.6 B:0.8 M:+ ST:U CH:8 CF:+ MI:88 SK:81 PS:U SQ:0],1.662,1000,1647.6,9.28,0.86,10.37,0.96,-0.1,-0.01,32.61,3.26
22,Entry long,2024-07-24 23:00:00,[R001L rA:65 hA:34 R:68 V:1.04 B:1.04 M:+ ST:U CH:26 CF:+ MI:74 SK:100 PS:U SQ:0],1.6476,1000,1647.6,9.28,0.86,10.37,0.96,-0.1,-0.01,32.61,3.26
23,Exit long,2024-08-02 15:00:00,[ExitL rA:75 hA:72 R:81 V:1.91 B:0.8 M:+ ST:U CH:5 CF:+ MI:87 SK:85 PS:U SQ:0],1.674,1000,1671,1.75,0.16,2.63,0.24,-0.1,-0.01,34.36,3.44
23,Entry long,2024-08-02 14:00:00,[R001L rA:31 hA:62 R:89 V:0.49 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.671,1000,1671,1.75,0.16,2.63,0.24,-0.1,-0.01,34.36,3.44
24,Exit long,2024-08-05 01:00:00,[ExitL rA:67 hA:36 R:74 V:1.89 B:0.82 M:+ ST:U CH:8 CF:+ MI:67 SK:85 PS:U SQ:0],1.6806,1000,1677.6,1.76,0.16,2.64,0.24,-0.1,-0.01,36.12,3.61
24,Entry long,2024-08-04 23:00:00,[R001L rA:53 hA:34 R:76 V:0.66 B:1.04 M:- ST:U CH:31 CF:+ MI:52 SK:100 PS:U SQ:0],1.6776,1000,1677.6,1.76,0.16,2.64,0.24,-0.1,-0.01,36.12,3.61
25,Exit short,2024-08-05 16:00:00,[ExitS rA:68 hA:45 R:34 V:3.28 B:0.22 M:- ST:D CH:14 CF:+ MI:50 SK:18 PS:D SQ:0],1.6902,1000,1692,0.97,0.09,1.85,0.17,-0.1,-0.01,37.09,3.71
25,Entry short,2024-08-05 15:00:00,[R001S rA:32 hA:31 R:35 V:0.87 B:0.34 M:+ ST:D CH:22 CF:+ MI:72 SK:33 PS:D SQ:0],1.692,1000,1692,0.97,0.09,1.85,0.17,-0.1,-0.01,37.09,3.71
26,Exit short,2024-08-06 01:00:00,[ExitS rA:38 hA:31 R:22 V:1.21 B:0.2 M:- ST:D CH:5 CF:- MI:11 SK:15 PS:D SQ:0],1.6782,1000,1683.6,3.31,0.30,4.19,0.38,-0.1,-0.01,40.4,4.04
26,Entry short,2024-08-05 23:00:00,[R001S rA:34 hA:31 R:21 V:0.31 B:0.01 M:- ST:D CH:13 CF:- MI:39 SK:0 PS:D SQ:0],1.6836,1000,1683.6,3.31,0.30,4.19,0.38,-0.1,-0.01,40.4,4.04
27,Exit short,2024-08-06 19:00:00,[ExitS rA:65 hA:44 R:26 V:1.75 B:0.2 M:- ST:D CH:7 CF:- MI:13 SK:15 PS:D SQ:0],1.6734,1000,1675.8,1.36,0.13,2.29,0.21,-0.1,-0.01,41.77,4.18
27,Entry short,2024-08-06 16:00:00,[R001S rA:47 hA:36 R:23 V:0.24 B:0.03 M:- ST:D CH:7 CF:+ MI:0 SK:0 PS:D SQ:0],1.6758,1000,1675.8,1.36,0.13,2.29,0.21,-0.1,-0.01,41.77,4.18
28,Exit long,2024-08-08 01:00:00,[ExitL rA:63 hA:45 R:74 V:1.18 B:0.8 M:+ ST:U CH:5 CF:+ MI:88 SK:82 PS:U SQ:0],1.6752,1000,1674.6,0.19,0.02,1.25,0.11,-0.1,-0.01,41.96,4.20
28,Entry long,2024-08-07 18:00:00,[R001L rA:58 hA:42 R:82 V:0.61 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.6746,1000,1674.6,0.19,0.02,1.25,0.11,-0.1,-0.01,41.96,4.20
29,Exit short,2024-08-09 04:00:00,[ExitS rA:45 hA:42 R:22 V:0.27 B:0.2 M:- ST:D CH:9 CF:- MI:2 SK:15 PS:D SQ:0],1.656,1000,1657.8,0.99,0.09,1.88,0.17,-0.1,-0.01,42.95,4.30
29,Entry short,2024-08-08 17:00:00,[R001S rA:32 hA:39 R:15 V:1.11 B:0.08 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],1.6578,1000,1657.8,0.99,0.09,1.88,0.17,-0.1,-0.01,42.95,4.30
30,Exit short,2024-08-20 03:00:00,[ExitS rA:59 hA:37 R:29 V:0.81 B:0.17 M:- ST:D CH:22 CF:- MI:20 SK:22 PS:D SQ:0],1.6476,1000,1647.6,-0.2,-0.02,0.82,0.07,-0.1,-0.01,42.75,4.28
30,Entry short,2024-08-19 17:00:00,[R001S rA:48 hA:32 R:23 V:1.04 B:0.02 M:- ST:D CH:24 CF:- MI:22 SK:0 PS:D SQ:0],1.6476,1000,1647.6,-0.2,-0.02,0.82,0.07,-0.1,-0.01,42.75,4.28
31,Exit short,2024-08-29 18:00:00,[ExitS rA:51 hA:33 R:40 V:0.94 B:0.47 M:+ ST:D CH:31 CF:- MI:49 SK:29 PS:D SQ:0],1.629,1000,1628.4,-0.61,-0.05,0.31,0.03,-0.51,-0.05,42.15,4.21
31,Entry short,2024-08-29 17:00:00,[R001S rA:48 hA:31 R:34 V:1.38 B:0.34 M:+ ST:D CH:22 CF:- MI:55 SK:33 PS:D SQ:0],1.6284,1000,1628.4,-0.61,-0.05,0.31,0.03,-0.51,-0.05,42.15,4.21
