Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
58,Entry long,2024-07-22 01:00:00,[R001L rA:58 hA:29 PS:U CD:30],1.6302,1000,1630.2,1.81,0.17,2.31,0.21,-0.1,-0.01,82.68,8.27
59,Exit long,2024-07-24 06:00:00,[ExitL rA:52 hA:45 PS:U CD:30],1.6458,1000,1643.4,1.39,0.13,2.28,0.21,-0.1,-0.01,84.07,8.41
59,Entry long,2024-07-24 03:00:00,[R001L rA:42 hA:42 PS:U CD:30],1.6434,1000,1643.4,1.39,0.13,2.28,0.21,-0.1,-0.01,84.07,8.41
60,Exit long,2024-07-25 12:00:00,[ExitL rA:65 hA:64 PS:U CD:30],1.662,1000,1651.8,6.52,0.60,7.6,0.70,-0.1,-0.01,90.59,9.06
60,Entry long,2024-07-25 02:00:00,[R001L rA:63 hA:59 PS:U CD:30],1.6518,1000,1651.8,6.52,0.60,7.6,0.70,-0.1,-0.01,90.59,9.06
61,Exit short,2024-07-26 09:00:00,[ExitS rA:44 hA:27 PS:D CD:30],1.6542,1000,1657.8,2.16,0.20,3.04,0.28,-0.1,-0.01,92.75,9.27
61,Entry short,2024-07-26 01:00:00,[R002S rA:57 hA:40 PS:U CD:30],1.6578,1000,1657.8,2.16,0.20,3.04,0.28,-0.1,-0.01,92.75,9.27
62,Exit long,2024-07-31 06:00:00,[ExitL rA:75 hA:72 PS:U CD:30],1.6662,1000,1665,0.59,0.05,1.47,0.14,-0.1,-0.01,93.34,9.33
62,Entry long,2024-07-31 01:00:00,[R001L rA:42 hA:63 PS:U CD:30],1.665,1000,1665,0.59,0.05,1.47,0.14,-0.1,-0.01,93.34,9.33
63,Exit long,2024-08-01 05:00:00,[ExitL rA:54 hA:31 PS:U CD:30],1.6584,1000,1656.6,0.98,0.09,1.86,0.17,-0.18,-0.02,94.32,9.43
63,Entry long,2024-08-01 01:00:00,[R001L rA:45 hA:27 PS:U CD:30],1.6566,1000,1656.6,0.98,0.09,1.86,0.17,-0.18,-0.02,94.32,9.43
64,Exit long,2024-08-02 15:00:00,[ExitL rA:31 hA:22 PS:U CD:30],1.674,1000,1669.8,2.54,0.23,3.41,0.31,-0.1,-0.01,96.85,9.69
64,Entry long,2024-08-02 14:00:00,[R001L rA:44 hA:25 PS:U CD:30],1.6698,1000,1669.8,2.54,0.23,3.41,0.31,-0.1,-0.01,96.85,9.69
65,Exit long,2024-08-05 01:00:00,[ExitL rA:67 hA:36 PS:U CD:30],1.6806,1000,1681.2,-0.59,-0.05,0,0.00,-0.49,-0.04,96.27,9.63
65,Entry long,2024-08-05 01:00:00,[R001L rA:49 hA:29 PS:U CD:30],1.6812,1000,1681.2,-0.59,-0.05,0,0.00,-0.49,-0.04,96.27,9.63
66,Exit long,2024-08-05 07:00:00,[ExitL rA:63 hA:45 PS:U CD:30],1.7028,1000,1697.4,3.32,0.30,4.2,0.38,-0.1,-0.01,99.58,9.96
66,Entry long,2024-08-05 05:00:00,[R001L rA:63 hA:45 PS:U CD:30],1.6974,1000,1697.4,3.32,0.30,4.2,0.38,-0.1,-0.01,99.58,9.96
67,Exit long,2024-08-05 13:00:00,[ExitL rA:90 hA:77 PS:U CD:30],1.7058,1000,1705.2,0.19,0.02,1.07,0.10,-0.1,-0.01,99.77,9.98
67,Entry long,2024-08-05 12:00:00,[R001L rA:83 hA:71 PS:U CD:30],1.7052,1000,1705.2,0.19,0.02,1.07,0.10,-0.1,-0.01,99.77,9.98
68,Exit short,2024-08-05 14:00:00,[ExitS rA:33 hA:61 PS:D CD:30],1.6914,1000,1690.8,-0.59,-0.05,0,0.00,-0.49,-0.04,99.18,9.92
68,Entry short,2024-08-05 14:00:00,[R001S rA:43 hA:26 PS:D CD:30],1.6908,1000,1690.8,-0.59,-0.05,0,0.00,-0.49,-0.04,99.18,9.92
69,Exit short,2024-08-06 01:00:00,[ExitS rA:54 hA:37 PS:D CD:30],1.6782,1000,1685.4,4.48,0.41,5.36,0.49,-0.1,-0.01,103.66,10.37
69,Entry short,2024-08-05 22:00:00,[R001S rA:54 hA:38 PS:D CD:30],1.6854,1000,1685.4,4.48,0.41,5.36,0.49,-0.1,-0.01,103.66,10.37
70,Exit short,2024-08-06 19:00:00,[ExitS rA:65 hA:44 PS:D CD:30],1.6734,1000,1672.8,-0.59,-0.05,0.34,0.03,-0.49,-0.04,103.08,10.31
70,Entry short,2024-08-06 19:00:00,[R001S rA:43 hA:34 PS:D CD:30],1.6728,1000,1672.8,-0.59,-0.05,0.34,0.03,-0.49,-0.04,103.08,10.31
71,Exit long,2024-08-07 08:00:00,[ExitL rA:47 hA:61 PS:U CD:30],1.6662,1000,1666.8,-0.59,-0.05,0.29,0.03,-0.49,-0.04,102.49,10.25
71,Entry long,2024-08-07 07:00:00,[R001L rA:42 hA:62 PS:U CD:30],1.6668,1000,1666.8,-0.59,-0.05,0.29,0.03,-0.49,-0.04,102.49,10.25
72,Exit long,2024-08-08 01:00:00,[ExitL rA:50 hA:48 PS:U CD:30],1.6752,1000,1675.2,-0.2,-0.02,0.86,0.08,-0.1,-0.01,102.3,10.23
72,Entry long,2024-08-07 18:00:00,[R001L rA:54 hA:48 PS:U CD:30],1.6752,1000,1675.2,-0.2,-0.02,0.86,0.08,-0.1,-0.01,102.3,10.23
73,Exit short,2024-08-09 04:00:00,[ExitS rA:45 hA:42 PS:D CD:30],1.656,1000,1659,1.78,0.16,2.67,0.24,-0.1,-0.01,104.08,10.41
73,Entry short,2024-08-08 17:00:00,[R001S rA:44 hA:42 PS:D CD:30],1.659,1000,1659,1.78,0.16,2.67,0.24,-0.1,-0.01,104.08,10.41
74,Exit long,2024-08-15 00:00:00,[ExitL rA:49 hA:34 PS:U CD:30],1.6692,1000,1669.2,-0.2,-0.02,0.3,0.03,-0.49,-0.04,103.88,10.39
74,Entry long,2024-08-14 21:00:00,[R001L rA:44 hA:36 PS:U CD:30],1.6692,1000,1669.2,-0.2,-0.02,0.3,0.03,-0.49,-0.04,103.88,10.39
