Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
44,Exit long,2025-08-01 06:00:00,Close entry(s) order Long,43890,1,21952.5,-9.4,-0.04,0,0.00,-8.45,-0.04,2841.4,28.41
44,Entry long,2025-08-01 06:00:00,Long,43905,1,21952.5,-9.4,-0.04,0,0.00,-8.45,-0.04,2841.4,28.41
45,Exit long,2025-08-01 09:00:00,Close entry(s) order Long,43755,1,21855,20.6,0.09,36.55,0.17,-0.95,0.00,2862,28.62
45,Entry long,2025-08-01 08:00:00,Long,43710,1,21855,20.6,0.09,36.55,0.17,-0.95,0.00,2862,28.62
46,Exit short,2025-08-08 00:00:00,Close entry(s) order Short,44130,1,22057.5,-9.4,-0.04,0,0.00,-8.45,-0.04,2852.6,28.53
46,Entry short,2025-08-08 00:00:00,Short,44115,1,22057.5,-9.4,-0.04,0,0.00,-8.45,-0.04,2852.6,28.53
47,Exit long,2025-08-12 00:00:00,Close entry(s) order Long,44145,1,22072.5,-1.9,-0.01,0,0.00,-8.45,-0.04,2850.7,28.51
47,Entry long,2025-08-11 22:00:00,Long,44145,1,22072.5,-1.9,-0.01,0,0.00,-8.45,-0.04,2850.7,28.51
48,Exit short,2025-08-13 09:00:00,Close entry(s) order Short,44835,1,22410,-9.4,-0.04,6.55,0.03,-8.45,-0.04,2841.3,28.41
48,Entry short,2025-08-13 07:00:00,Short,44820,1,22410,-9.4,-0.04,6.55,0.03,-8.45,-0.04,2841.3,28.41
49,Exit long,2025-08-15 12:00:00,Close entry(s) order Long,45120,1,22567.5,-9.4,-0.04,0,0.00,-8.45,-0.04,2831.9,28.32
49,Entry long,2025-08-15 11:00:00,Long,45135,1,22567.5,-9.4,-0.04,0,0.00,-8.45,-0.04,2831.9,28.32
50,Exit short,2025-08-19 12:00:00,Close entry(s) order Short,44970,1,22515,28.1,0.12,44.05,0.20,-0.95,0.00,2860,28.60
50,Entry short,2025-08-19 08:00:00,Short,45030,1,22515,28.1,0.12,44.05,0.20,-0.95,0.00,2860,28.60
51,Exit long,2025-08-26 13:00:00,Session End,45495,1,22672.5,73.1,0.32,74.05,0.33,-0.95,0.00,2933.1,29.33
51,Entry long,2025-08-26 11:00:00,Long,45345,1,22672.5,73.1,0.32,74.05,0.33,-0.95,0.00,2933.1,29.33
52,Exit short,2025-08-28 08:00:00,Close entry(s) order Short,45570,1,22845,58.1,0.25,74.05,0.32,-0.95,0.00,2991.2,29.91
52,Entry short,2025-08-28 06:00:00,Short,45690,1,22845,58.1,0.25,74.05,0.32,-0.95,0.00,2991.2,29.91
53,Exit long,2025-08-29 13:00:00,Session End,45615,1,22792.5,13.1,0.06,14.05,0.06,-0.95,0.00,3004.3,30.04
53,Entry long,2025-08-29 12:00:00,Long,45585,1,22792.5,13.1,0.06,14.05,0.06,-0.95,0.00,3004.3,30.04
54,Exit long,2025-09-02 03:00:00,Close entry(s) order Long,45390,1,22702.5,-9.4,-0.04,7.55,0.03,-8.45,-0.04,2994.9,29.95
54,Entry long,2025-09-02 03:00:00,Long,45405,1,22702.5,-9.4,-0.04,7.55,0.03,-8.45,-0.04,2994.9,29.95
55,Exit long,2025-09-03 05:00:00,Close entry(s) order Long,45315,1,22635,20.6,0.09,41.55,0.18,-0.95,0.00,3015.5,30.15
55,Entry long,2025-09-03 01:00:00,Long,45270,1,22635,20.6,0.09,41.55,0.18,-0.95,0.00,3015.5,30.15
56,Exit short,2025-09-05 05:00:00,Close entry(s) order Short,45645,1,22815,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3006.1,30.06
56,Entry short,2025-09-05 04:00:00,Short,45630,1,22815,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3006.1,30.06
57,Exit long,2025-09-05 10:00:00,Close entry(s) order Long,45420,1,22702.5,5.6,0.02,21.55,0.09,-0.95,0.00,3011.7,30.12
